Epoch,date,Account,Pool,Operation,Amount,Staked Balance,Rewards Ⓝ,Rate NEAR/USD,Rewards in USD,Unstaked Balance,Can Withdraw
57556277,2022-01-17 23:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,8.00,0.00,20.06,0.00,0.00,N/A
57599477,2022-01-18 15:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,8.00,0.00,17.77,0.00,0.00,N/A
57642677,2022-01-19 06:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,8.00,0.00,17.72,0.00,0.00,N/A
57685877,2022-01-19 21:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,9.30,1.30,17.72,23.04,0.00,N/A
57729077,2022-01-20 14:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,9.30,0.00,16.21,0.00,0.00,N/A
57772277,2022-01-21 05:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,10.53,1.23,15.25,18.76,0.00,N/A
57815477,2022-01-21 21:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,10.53,0.00,15.25,0.00,0.00,N/A
57858677,2022-01-22 12:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,10.53,0.00,13.14,0.00,0.00,N/A
57901877,2022-01-23 03:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,11.66,1.13,11.36,12.84,0.00,N/A
57945077,2022-01-23 18:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,11.66,0.00,11.36,0.00,0.00,N/A
57988277,2022-01-24 08:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,14.02,2.36,11.73,27.68,0.00,N/A
58031477,2022-01-24 23:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,15.16,1.14,11.73,13.37,0.00,N/A
58074677,2022-01-25 14:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,16.27,1.11,10.72,11.90,0.00,N/A
58117877,2022-01-26 05:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,17.42,1.15,12.16,13.98,0.00,N/A
58161077,2022-01-26 20:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,18.54,1.12,12.16,13.62,0.00,N/A
58204277,2022-01-27 11:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,19.67,1.13,11.31,12.78,0.00,N/A
58247477,2022-01-28 02:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,20.80,1.13,10.56,11.93,0.00,N/A
58290677,2022-01-28 16:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,20.80,0.00,10.56,0.00,0.00,N/A
58333877,2022-01-29 07:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,20.80,0.00,10.79,0.00,0.00,N/A
58377077,2022-01-29 22:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,24.24,3.44,10.79,37.10,0.00,N/A
58420277,2022-01-30 13:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,25.37,1.13,11.06,12.50,0.00,N/A
58463477,2022-01-31 04:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,26.52,1.15,10.35,11.90,0.00,N/A
58506677,2022-01-31 19:01,jakov-shardlabs.near,shardlabs.poolv1.near,,,27.67,1.15,10.35,11.90,0.00,N/A
58549877,2022-02-01 10:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,Ⓝ20.82,8.00,1.15,11.13,12.80,20.82,No
58593077,2022-02-02 01:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,8.00,0.00,11.23,0.00,20.82,No
58636277,2022-02-02 15:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,10.31,2.31,11.23,25.95,20.82,No
58679477,2022-02-03 06:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,11.47,1.16,11.07,12.84,20.82,No
58722677,2022-02-03 21:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,N/A,12.63,1.16,11.07,12.84,0.00,N/A
58765877,2022-02-04 12:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,13.94,1.31,10.92,14.30,0.00,N/A
58809077,2022-02-05 03:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,15.26,1.32,13.04,17.21,0.00,N/A
58852277,2022-02-05 19:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,16.63,1.37,13.04,17.86,0.00,N/A
58895477,2022-02-06 09:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,18.01,1.38,12.87,17.77,0.00,N/A
58938677,2022-02-07 01:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,19.36,1.35,13.52,18.26,0.00,N/A
58981877,2022-02-07 15:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,20.74,1.38,13.52,18.66,0.00,N/A
59025077,2022-02-08 06:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,22.09,1.35,13.51,18.24,0.00,N/A
59068277,2022-02-08 21:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,23.44,1.35,13.51,18.24,0.00,N/A
59111477,2022-02-09 12:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,24.79,1.35,12.81,17.30,0.00,N/A
59154677,2022-02-10 03:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,26.14,1.35,12.99,17.54,0.00,N/A
59197877,2022-02-10 18:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,27.48,1.34,12.99,17.41,0.00,N/A
59241077,2022-02-11 08:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,28.83,1.35,11.82,15.96,0.00,N/A
59284277,2022-02-11 23:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,30.16,1.33,11.82,15.73,0.00,N/A
59327477,2022-02-12 14:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,31.50,1.34,10.87,14.57,0.00,N/A
59370677,2022-02-13 05:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,32.82,1.32,10.78,14.23,0.00,N/A
59413877,2022-02-13 19:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,34.15,1.33,10.78,14.33,0.00,N/A
59457077,2022-02-14 10:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,35.47,1.32,10.42,13.76,0.00,N/A
59500277,2022-02-15 01:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,37.04,1.57,10.53,16.54,0.00,N/A
59543477,2022-02-15 16:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,38.60,1.56,10.53,16.43,0.00,N/A
59586677,2022-02-16 07:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,40.18,1.58,11.51,18.18,0.00,N/A
59629877,2022-02-16 22:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,41.75,1.57,11.51,18.07,0.00,N/A
59673077,2022-02-17 13:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,43.37,1.62,11.21,18.16,0.00,N/A
59716278,2022-02-18 05:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,45.01,1.64,10.45,17.13,0.00,N/A
59759478,2022-02-18 21:02,jakov-shardlabs.near,shardlabs.poolv1.near,,,46.67,1.66,10.45,17.34,0.00,N/A
